name,path,pose,gaze,control,scene_obj,scene_cam,video,MS_rating,face,manual,Check
5_2_Earth_Gym,/data/VR_NET/zipped/22/5_2_Earth_Gym.zip,1,1,1,1,1,1,1,0,1,No_Problem
6_1_Wild_Quest,/data/VR_NET/zipped/22/6_1_Wild_Quest.zip,1,1,1,1,1,1,1,0,1,No_Problem
5_1_Wild_Quest,/data/VR_NET/zipped/22/5_1_Wild_Quest.zip,1,1,1,1,1,1,1,0,1,No_Problem
8_1_Wild_Quest,/data/VR_NET/zipped/22/8_1_Wild_Quest.zip,1,1,1,1,1,1,1,0,1,No_Problem
3_2_Wild_Quest,/data/VR_NET/zipped/22/3_2_Wild_Quest.zip,1,1,1,1,1,1,1,0,1,No_Problem
310_2_Mech_Playground,/data/VR_NET/zipped/19/310_2_Mech_Playground.zip,1,1,1,1,1,1,1,0,1,Two_files_for_all
145_1_Roommate,/data/VR_NET/zipped/8/145_1_Roommate.zip,1,1,1,1,1,1,1,0,1,No_Problem
140_1_Waffle_Restaurant,/data/VR_NET/zipped/8/140_1_Waffle_Restaurant.zip,1,1,1,1,1,1,1,0,1,No_Problem
135_2_Roommate,/data/VR_NET/zipped/8/135_2_Roommate.zip,1,1,1,1,1,1,1,0,1,No_Problem
62_2_UFO_crash_site_venue,/data/VR_NET/zipped/3/62_2_UFO_crash_site_venue.zip,1,1,1,1,1,1,1,0,1,No_Problem
57_1_UFO_crash_site_venue,/data/VR_NET/zipped/3/57_1_UFO_crash_site_venue.zip,1,1,1,1,1,1,1,0,1,No_Problem
59_1_The_aquarium,/data/VR_NET/zipped/3/59_1_The_aquarium.zip,1,1,1,1,1,1,1,0,1,No_Problem
59_2_UFO_crash_site_venue,/data/VR_NET/zipped/3/59_2_UFO_crash_site_venue.zip,1,1,1,1,1,1,1,0,1,No_Problem
57_2_The_aquarium,/data/VR_NET/zipped/3/57_2_The_aquarium.zip,1,1,1,1,1,1,1,0,1,No_Problem
64_1_Kowloon,/data/VR_NET/zipped/3/64_1_Kowloon.zip,1,1,1,1,1,1,1,0,1,No_Problem
64_2_Wake_the_Robot,/data/VR_NET/zipped/3/64_2_Wake_the_Robot.zip,1,1,1,1,1,1,1,0,1,No_Problem
69_1_Wake_the_Robot,/data/VR_NET/zipped/3/69_1_Wake_the_Robot.zip,1,1,1,1,1,1,1,0,1,No_Problem
62_1_The_aquarium,/data/VR_NET/zipped/3/62_1_The_aquarium.zip,1,1,1,1,1,1,1,0,1,No_Problem
43_1_Scifi_Sandbox,/data/VR_NET/zipped/2/43_1_Scifi_Sandbox.zip,1,1,1,1,1,1,1,0,1,No_Problem
53_1_UFO_crash_site_venue,/data/VR_NET/zipped/2/53_1_UFO_crash_site_venue.zip,1,1,1,1,1,1,1,0,1,Two_files_for_all
45_1_Scifi_Sandbox,/data/VR_NET/zipped/2/45_1_Scifi_Sandbox.zip,1,1,1,1,1,1,1,0,1,No_Problem
40_2_Citadel,/data/VR_NET/zipped/2/40_2_Citadel.zip,1,1,1,1,1,1,1,0,1,No_Problem
49_1_Scifi_Sandbox,/data/VR_NET/zipped/2/49_1_Scifi_Sandbox.zip,1,1,1,1,1,1,1,0,1,No_Problem
39_2_Citadel,/data/VR_NET/zipped/2/39_2_Citadel.zip,1,1,1,1,1,1,1,0,1,No_Problem
40_1_Super_Rumble,/data/VR_NET/zipped/2/40_1_Super_Rumble.zip,1,1,1,1,1,1,1,0,1,No_Problem
45_2_Arena_Clash,/data/VR_NET/zipped/2/45_2_Arena_Clash.zip,1,1,1,1,1,1,1,0,1,No_Problem
47_1_Scifi_Sandbox,/data/VR_NET/zipped/2/47_1_Scifi_Sandbox.zip,1,1,1,1,1,1,1,0,1,No_Problem
43_2_Arena_Clash,/data/VR_NET/zipped/2/43_2_Arena_Clash.zip,1,1,1,1,1,1,1,0,1,No_Problem
42_2_Citadel,/data/VR_NET/zipped/2/42_2_Citadel.zip,1,1,1,1,1,1,1,0,1,No_Problem
47_2_Arena_Clash,/data/VR_NET/zipped/2/47_2_Arena_Clash.zip,1,1,1,1,1,1,1,0,1,No_Problem
303_1_New_Olympus,/data/VR_NET/zipped/18/303_1_New_Olympus.zip,1,1,1,1,1,1,1,0,1,Two_files_for_all
245_1_Slash,/data/VR_NET/zipped/15/245_1_Slash.zip,1,1,1,1,1,1,1,0,1,No_Problem
252_1_Octopus_Bash,/data/VR_NET/zipped/15/252_1_Octopus_Bash.zip,1,1,1,1,1,1,1,0,1,Two_files_for_all
200_1_Water_Battling,/data/VR_NET/zipped/12/200_1_Water_Battling.zip,1,1,1,1,1,1,1,0,1,No_Problem
78_2_Venues,/data/VR_NET/zipped/4/78_2_Venues.zip,1,1,1,1,1,1,1,0,1,No_Problem
82_1_Superhero_Arena,/data/VR_NET/zipped/4/82_1_Superhero_Arena.zip,1,1,1,1,1,1,1,0,1,No_Problem
80_2_Venues,/data/VR_NET/zipped/4/80_2_Venues.zip,1,1,1,1,1,1,1,0,1,No_Problem
76_2_Venues,/data/VR_NET/zipped/4/76_2_Venues.zip,1,1,1,1,1,1,1,0,1,No_Problem
73_1_Superhero_Arena,/data/VR_NET/zipped/4/73_1_Superhero_Arena.zip,1,1,1,1,1,1,1,0,1,No_Problem
78_1_Superhero_Arena,/data/VR_NET/zipped/4/78_1_Superhero_Arena.zip,1,1,1,1,1,1,1,0,1,No_Problem
80_1_Superhero_Arena,/data/VR_NET/zipped/4/80_1_Superhero_Arena.zip,1,1,1,1,1,1,1,0,1,No_Problem
73_2_Venues,/data/VR_NET/zipped/4/73_2_Venues.zip,1,1,1,1,1,1,1,0,1,No_Problem
76_1_Superhero_Arena,/data/VR_NET/zipped/4/76_1_Superhero_Arena.zip,1,1,1,1,1,1,1,0,1,No_Problem
258_1_98_Escapes,/data/VR_NET/zipped/16/258_1_98_Escapes.zip,1,1,1,1,1,1,1,0,1,No_Problem
268_2_MB_Deja_Vu,/data/VR_NET/zipped/16/268_2_MB_Deja_Vu.zip,1,1,1,1,1,1,1,0,1,No_Problem
263_1_98_Escapes,/data/VR_NET/zipped/16/263_1_98_Escapes.zip,1,1,1,1,1,1,1,0,1,Two_files_for_all
