game_name,no_of_sessions
Barbie,11
Escape_Puzzle_Mansion,10
Spy_School,10
Octopus_Bash,9
Circle_Kawaii,10
Delivery_Dash,10
New_Olympus,9
Junior_Chef,8
Puddles_Theme_Park,10
Land_Beyond,9
Red_Dead,10
Metdonalds,9
Metablocks_Adventure,11
Kawaii_Daycare,10
Venues,9
Mech_Playground,9
Mars_Miners,7
Puddles_Water_Park,10
Kawaii_Playroom,10
Roommate,11
Walking_Dead,10
Barnyard,10
Flight_Squad,10
The_aquarium,10
Kawaii_Fire_Station,11
Arena_Clash,9
Wood_Warehouse,11
Frisbee_Golf,10
Wake_the_Robot,10
VR_Bank,10
NBA_Arena,10
VR_Classroom,11
Born_With_Power,10
Horizon_Boxing,10
Slash,10
Bonnie_Revenge,10
Kowloon,9
Out_Of_Control,11
Titanic_Simulation,10
Earth_Gym,7
Retro_Zombie,10
Super_Rumble,10
Water_Battling,10
Kawaii_House,8
Fun_House,10
Giant_Paddle_Golf,10
Creature_Feature,8
Mega_Tasty_BBQ,10
Wild_Quest,7
UFO_crash_site_venue,8
Zombie,10
Kawaii_Urgent_Care,10
Western_Skies_RPG,10
Airplane_Obstacle,10
American_Idol,8
Army_Men,9
Fight_the_Night,10
Canyon_Runners,11
MB_Deja_Vu,9
Bobber_Bay_Fishing,9
Live_Sandbox,8
98_Escapes,10
HoverTag,10
Citadel,10
City_Parkour,10
Meta_Pizza_Hut_Classic,10
Wizard_Sandbox,10
3D_Play_House,9
Scifi_Sandbox,10
Cartoon_Wars,9
Zoo_Chef_Challenge,10
Kawaii_Police_Station,10
Waffle_Restaurant,11
Breakneck_Canyon,9
Slash_RPG,11
Sky_High_Trampoline_Park,10
Geometry_Gunners,10
Jail_Simulator,10
Pirate_Life,11
Superhero_Arena,10
Halloween_Wars,11
Man_of_Moon_Mountain,11
