name,path,pose,gaze,control,scene_obj,scene_cam,video,MS_rating,face,manual
5_2_Earth_Gym,/data/VR_NET/zipped/22/5_2_Earth_Gym.zip,1,1,1,1,1,1,1,0,0
6_1_Wild_Quest,/data/VR_NET/zipped/22/6_1_Wild_Quest.zip,1,1,1,1,1,1,1,0,0
5_1_Wild_Quest,/data/VR_NET/zipped/22/5_1_Wild_Quest.zip,1,1,1,1,1,1,1,0,0
8_1_Wild_Quest,/data/VR_NET/zipped/22/8_1_Wild_Quest.zip,1,1,1,1,1,1,1,0,0
3_2_Wild_Quest,/data/VR_NET/zipped/22/3_2_Wild_Quest.zip,0,1,1,1,1,1,1,0,0
145_1_Roommate,/data/VR_NET/zipped/8/145_1_Roommate.zip,1,1,1,1,1,1,1,0,0
140_1_Waffle_Restaurant,/data/VR_NET/zipped/8/140_1_Waffle_Restaurant.zip,1,1,1,1,1,1,1,0,0
135_2_Roommate,/data/VR_NET/zipped/8/135_2_Roommate.zip,1,1,1,0,0,1,1,0,0
62_2_UFO_crash_site_venue,/data/VR_NET/zipped/3/62_2_UFO_crash_site_venue.zip,1,0,1,1,1,1,1,0,0
57_1_UFO_crash_site_venue,/data/VR_NET/zipped/3/57_1_UFO_crash_site_venue.zip,1,0,1,1,1,1,1,0,0
59_1_The_aquarium,/data/VR_NET/zipped/3/59_1_The_aquarium.zip,1,0,1,1,1,1,1,0,0
59_2_UFO_crash_site_venue,/data/VR_NET/zipped/3/59_2_UFO_crash_site_venue.zip,1,0,1,1,1,1,1,0,0
57_2_The_aquarium,/data/VR_NET/zipped/3/57_2_The_aquarium.zip,1,0,1,1,1,1,1,0,0
64_1_Kowloon,/data/VR_NET/zipped/3/64_1_Kowloon.zip,1,0,1,1,1,1,1,0,0
64_2_Wake_the_Robot,/data/VR_NET/zipped/3/64_2_Wake_the_Robot.zip,1,0,1,1,1,1,1,0,0
69_1_Wake_the_Robot,/data/VR_NET/zipped/3/69_1_Wake_the_Robot.zip,1,0,1,1,1,1,1,0,0
62_1_The_aquarium,/data/VR_NET/zipped/3/62_1_The_aquarium.zip,1,0,1,1,1,1,1,0,0
43_1_Scifi_Sandbox,/data/VR_NET/zipped/2/43_1_Scifi_Sandbox.zip,1,0,1,1,1,1,1,0,0
45_1_Scifi_Sandbox,/data/VR_NET/zipped/2/45_1_Scifi_Sandbox.zip,1,0,1,1,1,1,1,0,0
40_2_Citadel,/data/VR_NET/zipped/2/40_2_Citadel.zip,1,0,1,1,1,1,1,0,0
49_1_Scifi_Sandbox,/data/VR_NET/zipped/2/49_1_Scifi_Sandbox.zip,1,0,1,1,1,1,1,0,0
39_2_Citadel,/data/VR_NET/zipped/2/39_2_Citadel.zip,0,1,1,1,1,1,1,0,0
40_1_Super_Rumble,/data/VR_NET/zipped/2/40_1_Super_Rumble.zip,1,0,1,1,1,1,1,0,0
45_2_Arena_Clash,/data/VR_NET/zipped/2/45_2_Arena_Clash.zip,1,0,1,1,1,1,1,0,0
47_1_Scifi_Sandbox,/data/VR_NET/zipped/2/47_1_Scifi_Sandbox.zip,1,0,1,1,1,1,1,0,0
43_2_Arena_Clash,/data/VR_NET/zipped/2/43_2_Arena_Clash.zip,1,0,1,1,1,1,1,0,0
42_2_Citadel,/data/VR_NET/zipped/2/42_2_Citadel.zip,1,0,1,1,1,1,1,0,0
47_2_Arena_Clash,/data/VR_NET/zipped/2/47_2_Arena_Clash.zip,1,0,1,1,1,1,1,0,0
245_1_Slash,/data/VR_NET/zipped/15/245_1_Slash.zip,1,1,1,0,0,1,1,1,0
200_1_Water_Battling,/data/VR_NET/zipped/12/200_1_Water_Battling.zip,1,1,1,0,0,1,1,1,0
78_2_Venues,/data/VR_NET/zipped/4/78_2_Venues.zip,1,0,1,1,1,1,1,0,0
82_1_Superhero_Arena,/data/VR_NET/zipped/4/82_1_Superhero_Arena.zip,1,1,1,1,1,1,1,0,0
80_2_Venues,/data/VR_NET/zipped/4/80_2_Venues.zip,1,0,1,1,1,1,1,0,0
76_2_Venues,/data/VR_NET/zipped/4/76_2_Venues.zip,1,0,1,1,1,1,1,0,0
73_1_Superhero_Arena,/data/VR_NET/zipped/4/73_1_Superhero_Arena.zip,1,0,1,1,1,1,1,0,0
78_1_Superhero_Arena,/data/VR_NET/zipped/4/78_1_Superhero_Arena.zip,1,0,1,1,1,1,1,0,0
80_1_Superhero_Arena,/data/VR_NET/zipped/4/80_1_Superhero_Arena.zip,1,0,1,1,1,1,1,0,0
73_2_Venues,/data/VR_NET/zipped/4/73_2_Venues.zip,1,0,1,1,1,1,1,0,0
76_1_Superhero_Arena,/data/VR_NET/zipped/4/76_1_Superhero_Arena.zip,1,0,1,1,1,1,1,0,0
258_1_98_Escapes,/data/VR_NET/zipped/16/258_1_98_Escapes.zip,1,1,1,0,0,1,1,1,0
268_2_MB_Deja_Vu,/data/VR_NET/zipped/16/268_2_MB_Deja_Vu.zip,1,1,1,0,0,1,1,1,0
36_2_Super_Rumble,/data/VR_NET/zipped/1/36_2_Super_Rumble.zip,1,0,1,1,1,1,1,0,0
36_1_Citadel,/data/VR_NET/zipped/1/36_1_Citadel.zip,1,0,1,1,1,1,1,0,0
28_2_Army_Men,/data/VR_NET/zipped/1/28_2_Army_Men.zip,1,1,1,1,1,1,1,0,0
25_2_Bobber_Bay_Fishing,/data/VR_NET/zipped/1/25_2_Bobber_Bay_Fishing.zip,1,0,1,1,1,1,1,0,0
38_1_Super_Rumble,/data/VR_NET/zipped/1/38_1_Super_Rumble.zip,1,0,1,1,1,1,1,0,0
30_2_Army_Men,/data/VR_NET/zipped/1/30_2_Army_Men.zip,1,1,1,1,1,1,1,0,0
30_1_Bobber_Bay_Fishing,/data/VR_NET/zipped/1/30_1_Bobber_Bay_Fishing.zip,1,1,1,1,1,1,1,0,0
34_2_Super_Rumble,/data/VR_NET/zipped/1/34_2_Super_Rumble.zip,1,0,1,1,1,1,1,0,0
34_1_Citadel,/data/VR_NET/zipped/1/34_1_Citadel.zip,1,0,1,1,1,1,1,0,0
25_1_Army_Men,/data/VR_NET/zipped/1/25_1_Army_Men.zip,1,0,1,1,1,1,1,0,0
31_2_Super_Rumble,/data/VR_NET/zipped/1/31_2_Super_Rumble.zip,1,0,1,1,1,1,1,0,0
31_1_Citadel,/data/VR_NET/zipped/1/31_1_Citadel.zip,1,0,1,1,1,1,1,0,0
32_1_Citadel,/data/VR_NET/zipped/1/32_1_Citadel.zip,1,1,1,1,1,1,1,0,0
16_1_Mars_Miners,/data/VR_NET/zipped/0/16_1_Mars_Miners.zip,1,1,1,1,1,1,1,0,0
10_2_Earth_Gym,/data/VR_NET/zipped/0/10_2_Earth_Gym.zip,1,1,1,1,1,1,1,0,0
18_1_Mars_Miners,/data/VR_NET/zipped/0/18_1_Mars_Miners.zip,1,1,1,1,1,1,1,0,0
13_2_American_Idol,/data/VR_NET/zipped/0/13_2_American_Idol.zip,1,0,1,1,1,1,1,0,0
20_1_Mars_Miners,/data/VR_NET/zipped/0/20_1_Mars_Miners.zip,0,1,1,1,1,1,1,0,0
8_2_Earth_Gym,/data/VR_NET/zipped/0/8_2_Earth_Gym.zip,1,1,1,1,1,1,1,0,0
23_1_Army_Men,/data/VR_NET/zipped/0/23_1_Army_Men.zip,1,0,1,1,1,1,1,0,0
10_1_Wild_Quest,/data/VR_NET/zipped/0/10_1_Wild_Quest.zip,1,1,1,1,1,1,1,0,0
17_1_Mars_Miners,/data/VR_NET/zipped/0/17_1_Mars_Miners.zip,1,1,1,1,1,1,1,0,0
20_2_American_Idol,/data/VR_NET/zipped/0/20_2_American_Idol.zip,1,0,1,1,1,1,1,0,0
15_2_American_Idol,/data/VR_NET/zipped/0/15_2_American_Idol.zip,1,1,1,1,1,1,1,0,0
15_1_Mars_Miners,/data/VR_NET/zipped/0/15_1_Mars_Miners.zip,1,1,1,1,1,1,1,0,0
23_2_Bobber_Bay_Fishing,/data/VR_NET/zipped/0/23_2_Bobber_Bay_Fishing.zip,1,0,1,1,1,1,1,0,0
17_2_American_Idol,/data/VR_NET/zipped/0/17_2_American_Idol.zip,1,1,1,1,1,1,1,0,0
16_2_American_Idol,/data/VR_NET/zipped/0/16_2_American_Idol.zip,1,1,1,1,1,1,1,0,0
86_1_Metdonalds,/data/VR_NET/zipped/5/86_1_Metdonalds.zip,1,0,1,1,1,1,1,0,0
88_2_3D_Play_House,/data/VR_NET/zipped/5/88_2_3D_Play_House.zip,1,0,1,1,1,1,1,0,0
86_2_3D_Play_House,/data/VR_NET/zipped/5/86_2_3D_Play_House.zip,1,0,1,1,1,1,1,0,0
88_1_Metdonalds,/data/VR_NET/zipped/5/88_1_Metdonalds.zip,1,0,1,1,1,1,1,0,0
