name,path,pose,gaze,control,scene_obj,scene_cam,video,MS_rating,face,manual
5_2_Earth_Gym,/data/VR_NET/zipped/22/5_2_Earth_Gym.zip,1,1,1,1,1,1,1,0,1
348_1_Wizard_Sandbox,/data/VR_NET/zipped/22/348_1_Wizard_Sandbox.zip,1,1,1,0,0,1,1,1,0
346_2_Meta_Pizza_Hut_Classic,/data/VR_NET/zipped/22/346_2_Meta_Pizza_Hut_Classic.zip,1,1,1,0,0,1,1,1,0
344_2_Wizard_Sandbox,/data/VR_NET/zipped/22/344_2_Wizard_Sandbox.zip,1,1,1,0,0,1,1,1,0
6_1_Wild_Quest,/data/VR_NET/zipped/22/6_1_Wild_Quest.zip,1,1,1,1,1,1,1,0,1
345_1_Meta_Pizza_Hut_Classic,/data/VR_NET/zipped/22/345_1_Meta_Pizza_Hut_Classic.zip,1,1,1,0,0,1,1,1,0
3_1_Earth_Gym,/data/VR_NET/zipped/22/3_1_Earth_Gym.zip,1,0,1,1,1,1,1,0,0
347_1_Meta_Pizza_Hut_Classic,/data/VR_NET/zipped/22/347_1_Meta_Pizza_Hut_Classic.zip,1,1,1,0,0,1,1,1,0
4_1_Earth_Gym,/data/VR_NET/zipped/22/4_1_Earth_Gym.zip,1,0,1,1,1,1,1,0,0
344_1_Meta_Pizza_Hut_Classic,/data/VR_NET/zipped/22/344_1_Meta_Pizza_Hut_Classic.zip,1,1,1,0,0,1,1,1,0
347_2_Wizard_Sandbox,/data/VR_NET/zipped/22/347_2_Wizard_Sandbox.zip,1,1,1,0,0,1,1,1,0
5_1_Wild_Quest,/data/VR_NET/zipped/22/5_1_Wild_Quest.zip,1,1,1,1,1,1,1,0,1
351_1_HoverTag,/data/VR_NET/zipped/22/351_1_HoverTag.zip,1,1,1,0,0,1,1,1,0
351_2_Circle_Kawaii,/data/VR_NET/zipped/22/351_2_Circle_Kawaii.zip,1,1,1,0,0,1,1,1,0
348_2_Meta_Pizza_Hut_Classic,/data/VR_NET/zipped/22/348_2_Meta_Pizza_Hut_Classic.zip,1,1,1,0,0,1,1,1,0
8_1_Wild_Quest,/data/VR_NET/zipped/22/8_1_Wild_Quest.zip,1,1,1,1,1,1,1,0,1
349_1_Meta_Pizza_Hut_Classic,/data/VR_NET/zipped/22/349_1_Meta_Pizza_Hut_Classic.zip,1,1,1,0,0,1,1,1,0
350_1_Circle_Kawaii,/data/VR_NET/zipped/22/350_1_Circle_Kawaii.zip,1,1,1,0,0,1,1,1,0
4_2_Wild_Quest,/data/VR_NET/zipped/22/4_2_Wild_Quest.zip,1,0,1,1,1,1,1,0,0
349_2_Wizard_Sandbox,/data/VR_NET/zipped/22/349_2_Wizard_Sandbox.zip,1,1,1,0,0,1,1,1,0
346_1_Wizard_Sandbox,/data/VR_NET/zipped/22/346_1_Wizard_Sandbox.zip,1,1,1,0,0,1,1,1,0
7_1_Earth_Gym,/data/VR_NET/zipped/22/7_1_Earth_Gym.zip,1,1,1,1,1,1,1,0,0
345_2_Wizard_Sandbox,/data/VR_NET/zipped/22/345_2_Wizard_Sandbox.zip,1,1,1,0,0,1,1,1,0
3_2_Wild_Quest,/data/VR_NET/zipped/22/3_2_Wild_Quest.zip,1,1,1,1,1,1,1,0,1
7_2_Wild_Quest,/data/VR_NET/zipped/22/7_2_Wild_Quest.zip,1,1,1,1,1,1,1,0,0
350_2_HoverTag,/data/VR_NET/zipped/22/350_2_HoverTag.zip,1,1,1,0,0,1,1,1,0
289_1_Kawaii_Fire_Station,/data/VR_NET/zipped/19/289_1_Kawaii_Fire_Station.zip,1,1,1,0,0,1,1,1,0
290_2_Kawaii_Fire_Station,/data/VR_NET/zipped/19/290_2_Kawaii_Fire_Station.zip,1,1,1,0,0,1,1,1,0
310_1_Escape_Puzzle_Mansion,/data/VR_NET/zipped/19/310_1_Escape_Puzzle_Mansion.zip,1,1,1,0,0,1,1,1,0
285_2_Fight_the_Night,/data/VR_NET/zipped/19/285_2_Fight_the_Night.zip,1,1,1,0,0,1,1,1,0
309_2_Mech_Playground,/data/VR_NET/zipped/19/309_2_Mech_Playground.zip,1,1,1,0,0,1,1,1,0
313_2_Mech_Playground,/data/VR_NET/zipped/19/313_2_Mech_Playground.zip,1,1,1,0,0,1,1,1,0
291_2_Kawaii_Fire_Station,/data/VR_NET/zipped/19/291_2_Kawaii_Fire_Station.zip,1,1,1,0,0,1,1,1,0
286_1_Kawaii_Police_Station,/data/VR_NET/zipped/19/286_1_Kawaii_Police_Station.zip,1,1,1,0,0,1,1,1,0
284_1_Kawaii_Police_Station,/data/VR_NET/zipped/19/284_1_Kawaii_Police_Station.zip,1,1,1,0,0,1,1,1,0
312_1_Escape_Puzzle_Mansion,/data/VR_NET/zipped/19/312_1_Escape_Puzzle_Mansion.zip,1,1,1,0,0,1,1,1,0
288_1_Man_of_Moon_Mountain,/data/VR_NET/zipped/19/288_1_Man_of_Moon_Mountain.zip,1,1,1,0,0,1,1,1,0
289_2_Man_of_Moon_Mountain,/data/VR_NET/zipped/19/289_2_Man_of_Moon_Mountain.zip,1,1,1,0,0,1,1,1,0
293_1_Man_of_Moon_Mountain,/data/VR_NET/zipped/19/293_1_Man_of_Moon_Mountain.zip,1,1,1,0,0,1,1,1,0
312_2_Mech_Playground,/data/VR_NET/zipped/19/312_2_Mech_Playground.zip,1,1,1,0,0,1,1,1,0
288_2_Kawaii_Fire_Station,/data/VR_NET/zipped/19/288_2_Kawaii_Fire_Station.zip,1,1,1,0,0,1,1,1,0
310_2_Mech_Playground,/data/VR_NET/zipped/19/310_2_Mech_Playground.zip,1,1,1,1,1,1,1,0,1
311_1_Escape_Puzzle_Mansion,/data/VR_NET/zipped/19/311_1_Escape_Puzzle_Mansion.zip,1,1,1,0,0,1,1,1,0
284_2_Fight_the_Night,/data/VR_NET/zipped/19/284_2_Fight_the_Night.zip,1,1,1,0,0,1,1,1,0
311_2_Mech_Playground,/data/VR_NET/zipped/19/311_2_Mech_Playground.zip,1,1,1,0,0,1,1,1,0
286_2_Fight_the_Night,/data/VR_NET/zipped/19/286_2_Fight_the_Night.zip,1,1,1,0,0,1,1,1,0
285_1_Kawaii_Police_Station,/data/VR_NET/zipped/19/285_1_Kawaii_Police_Station.zip,1,1,1,0,0,1,1,1,0
287_1_Kawaii_Police_Station,/data/VR_NET/zipped/19/287_1_Kawaii_Police_Station.zip,1,1,1,0,0,1,1,1,0
292_2_Kawaii_Fire_Station,/data/VR_NET/zipped/19/292_2_Kawaii_Fire_Station.zip,1,1,1,0,0,1,1,1,0
290_1_Man_of_Moon_Mountain,/data/VR_NET/zipped/19/290_1_Man_of_Moon_Mountain.zip,1,1,1,0,0,1,1,1,0
309_1_Escape_Puzzle_Mansion,/data/VR_NET/zipped/19/309_1_Escape_Puzzle_Mansion.zip,1,1,1,0,0,1,1,1,0
293_2_Kawaii_Fire_Station,/data/VR_NET/zipped/19/293_2_Kawaii_Fire_Station.zip,1,1,1,0,0,1,1,1,0
291_1_Man_of_Moon_Mountain,/data/VR_NET/zipped/19/291_1_Man_of_Moon_Mountain.zip,1,1,1,0,0,1,1,1,0
287_2_Fight_the_Night,/data/VR_NET/zipped/19/287_2_Fight_the_Night.zip,1,1,1,0,0,1,1,1,0
313_1_Escape_Puzzle_Mansion,/data/VR_NET/zipped/19/313_1_Escape_Puzzle_Mansion.zip,1,1,1,0,0,1,1,1,0
292_1_Man_of_Moon_Mountain,/data/VR_NET/zipped/19/292_1_Man_of_Moon_Mountain.zip,1,1,1,0,0,1,1,1,0
338_2_Jail_Simulator,/data/VR_NET/zipped/21/338_2_Jail_Simulator.zip,1,1,1,0,0,1,1,1,0
342_2_Wizard_Sandbox,/data/VR_NET/zipped/21/342_2_Wizard_Sandbox.zip,1,1,1,0,0,1,1,1,0
340_2_Wizard_Sandbox,/data/VR_NET/zipped/21/340_2_Wizard_Sandbox.zip,1,1,1,0,0,1,1,1,0
335_2_Spy_School,/data/VR_NET/zipped/21/335_2_Spy_School.zip,1,1,1,0,0,1,1,1,0
340_1_Meta_Pizza_Hut_Classic,/data/VR_NET/zipped/21/340_1_Meta_Pizza_Hut_Classic.zip,1,1,1,0,0,1,1,1,0
339_1_Spy_School,/data/VR_NET/zipped/21/339_1_Spy_School.zip,1,1,1,0,0,1,1,1,0
336_2_Spy_School,/data/VR_NET/zipped/21/336_2_Spy_School.zip,1,1,1,0,0,1,1,1,0
334_1_Jail_Simulator,/data/VR_NET/zipped/21/334_1_Jail_Simulator.zip,1,1,1,0,0,1,1,1,0
