game_name,number_of_sessions
Earth_Gym,7
Wild_Quest,7
Roommate,11
Waffle_Restaurant,11
UFO_crash_site_venue,8
The_aquarium,10
Kowloon,9
Wake_the_Robot,10
Scifi_Sandbox,10
Citadel,10
Super_Rumble,10
Arena_Clash,9
Slash,10
Water_Battling,10
Venues,9
Superhero_Arena,10
98_Escapes,10
MB_Deja_Vu,9
Army_Men,9
Bobber_Bay_Fishing,9
Mars_Miners,7
American_Idol,8
Metdonalds,9
3D_Play_House,9
Wizard_Sandbox,10
Meta_Pizza_Hut_Classic,10
HoverTag,10
Circle_Kawaii,10
Kawaii_Fire_Station,11
Escape_Puzzle_Mansion,10
Fight_the_Night,10
Mech_Playground,9
Kawaii_Police_Station,10
Man_of_Moon_Mountain,11
Jail_Simulator,10
Spy_School,10
Metablocks_Adventure,11
Wood_Warehouse,11
Mega_Tasty_BBQ,10
Zoo_Chef_Challenge,10
Live_Sandbox,8
Junior_Chef,8
Red_Dead,10
VR_Bank,10
Frisbee_Golf,10
Delivery_Dash,10
Kawaii_Daycare,10
Giant_Paddle_Golf,10
City_Parkour,10
Retro_Zombie,10
Kawaii_House,8
Kawaii_Playroom,10
Bonnie_Revenge,10
Breakneck_Canyon,9
Puddles_Theme_Park,10
Puddles_Water_Park,10
Fun_House,10
New_Olympus,9
Kawaii_Urgent_Care,10
Octopus_Bash,9
Born_With_Power,10
Cartoon_Wars,9
Slash_RPG,11
Pirate_Life,11
Zombie,10
VR_Classroom,11
Horizon_Boxing,10
Titanic_Simulation,10
Sky_High_Trampoline_Park,10
Western_Skies_RPG,10
Flight_Squad,10
Walking_Dead,10
Land_Beyond,9
NBA_Arena,10
Airplane_Obstacle,10
Barbie,11
Halloween_Wars,11
Out_Of_Control,11
Geometry_Gunners,10
Barnyard,10
Canyon_Runners,11
Creature_Feature,8
